INFO 2024-04-28 01:17:25,515 autoreload 13688 27352 Watching for file changes with StatReloader
INFO 2024-04-28 01:17:27,388 basehttp 13688 30288 "GET /edit_products/ HTTP/1.1" 200 3162
INFO 2024-05-01 22:01:02,175 autoreload 13476 31324 Watching for file changes with StatReloader
INFO 2024-05-01 22:01:04,056 views 13476 17732 Index page accessed
INFO 2024-05-01 22:01:04,070 basehttp 13476 17732 "GET / HTTP/1.1" 200 540
INFO 2024-05-01 22:01:04,107 basehttp 13476 17732 "GET /static/style.css HTTP/1.1" 304 0
WARNING 2024-05-01 22:01:04,484 log 13476 17732 Not Found: /favicon.ico
WARNING 2024-05-01 22:01:04,485 basehttp 13476 17732 "GET /favicon.ico HTTP/1.1" 404 3490
INFO 2024-05-01 22:01:08,033 views 13476 17732 About page accessed
INFO 2024-05-01 22:01:08,051 basehttp 13476 17732 "GET /about/ HTTP/1.1" 200 617
INFO 2024-05-01 22:01:10,178 views 13476 17732 About page accessed
INFO 2024-05-01 22:01:10,178 basehttp 13476 17732 "GET /about/ HTTP/1.1" 200 617
WARNING 2024-05-01 22:01:13,453 log 13476 17732 Not Found: /about/about/
WARNING 2024-05-01 22:01:13,454 basehttp 13476 17732 "GET /about/about/ HTTP/1.1" 404 3493
WARNING 2024-05-01 22:01:16,731 log 13476 17732 Not Found: /about/about/
WARNING 2024-05-01 22:01:16,731 basehttp 13476 17732 "GET /about/about/ HTTP/1.1" 404 3493
WARNING 2024-05-01 22:02:28,244 log 13476 17732 Not Found: /about/about/
WARNING 2024-05-01 22:02:28,245 basehttp 13476 17732 "GET /about/about/ HTTP/1.1" 404 3493
INFO 2024-05-01 22:02:31,608 views 13476 17732 About page accessed
INFO 2024-05-01 22:02:31,609 basehttp 13476 17732 "GET /about/ HTTP/1.1" 200 617
WARNING 2024-05-01 22:02:32,526 log 13476 17732 Not Found: /about/about/
WARNING 2024-05-01 22:02:32,526 basehttp 13476 17732 "GET /about/about/ HTTP/1.1" 404 3493
INFO 2024-05-01 22:02:34,464 views 13476 17732 About page accessed
INFO 2024-05-01 22:02:34,466 basehttp 13476 17732 "GET /about/ HTTP/1.1" 200 617
INFO 2024-05-01 22:02:40,716 views 13476 17732 About page accessed
INFO 2024-05-01 22:02:40,716 basehttp 13476 17732 "GET /about/ HTTP/1.1" 200 617
INFO 2024-05-01 22:02:41,508 views 13476 17732 About page accessed
INFO 2024-05-01 22:02:41,508 basehttp 13476 17732 "GET /about/ HTTP/1.1" 200 617
INFO 2024-05-01 22:02:50,636 autoreload 19880 2828 Watching for file changes with StatReloader
INFO 2024-05-01 22:02:52,380 views 19880 26232 About page accessed
INFO 2024-05-01 22:02:52,384 basehttp 19880 26232 "GET /about/ HTTP/1.1" 200 618
INFO 2024-05-01 22:02:53,226 views 19880 26232 Index page accessed
INFO 2024-05-01 22:02:53,227 basehttp 19880 26232 "GET / HTTP/1.1" 200 541
INFO 2024-05-01 22:02:53,898 views 19880 26232 Index page accessed
INFO 2024-05-01 22:02:53,898 basehttp 19880 26232 "GET / HTTP/1.1" 200 541
INFO 2024-05-01 22:02:54,379 views 19880 26232 Index page accessed
INFO 2024-05-01 22:02:54,380 basehttp 19880 26232 "GET / HTTP/1.1" 200 541
INFO 2024-05-01 22:02:54,861 views 19880 26232 About page accessed
INFO 2024-05-01 22:02:54,862 basehttp 19880 26232 "GET /about/ HTTP/1.1" 200 618
INFO 2024-05-01 22:02:55,817 views 19880 26232 Index page accessed
INFO 2024-05-01 22:02:55,818 basehttp 19880 26232 "GET / HTTP/1.1" 200 541
INFO 2024-05-01 22:02:57,003 views 19880 26232 About page accessed
INFO 2024-05-01 22:02:57,004 basehttp 19880 26232 "GET /about/ HTTP/1.1" 200 618
WARNING 2024-05-01 22:03:00,707 log 19880 26232 Not Found: /about/about/
WARNING 2024-05-01 22:03:00,707 basehttp 19880 26232 "GET /about/about/ HTTP/1.1" 404 3493
INFO 2024-05-01 22:04:42,480 autoreload 11588 3944 Watching for file changes with StatReloader
INFO 2024-05-01 22:04:43,520 views 11588 3528 Index page accessed
INFO 2024-05-01 22:04:43,527 basehttp 11588 3528 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:04:44,663 views 11588 3528 About page accessed
INFO 2024-05-01 22:04:44,665 basehttp 11588 3528 "GET /about/ HTTP/1.1" 200 619
INFO 2024-05-01 22:04:45,225 views 11588 3528 About page accessed
