INFO 2024-04-17 18:10:44,944 autoreload 6180 14580 Watching for file changes with StatReloader
INFO 2024-04-17 18:10:49,385 views 6180 9844 Index page accessed
INFO 2024-04-17 18:10:49,386 basehttp 6180 9844 "GET / HTTP/1.1" 200 127
INFO 2024-04-17 18:10:51,079 views 6180 9844 Index page accessed
INFO 2024-04-17 18:10:51,080 basehttp 6180 9844 "GET / HTTP/1.1" 200 127
INFO 2024-04-17 18:10:59,953 views 6180 9844 About page accessed
INFO 2024-04-17 18:10:59,953 basehttp 6180 9844 "GET /about/ HTTP/1.1" 200 217
INFO 2024-04-19 23:14:35,536 autoreload 21388 28404 Watching for file changes with StatReloader
INFO 2024-04-19 23:14:37,792 views 21388 14728 Index page accessed
INFO 2024-04-19 23:14:37,792 basehttp 21388 14728 "GET / HTTP/1.1" 200 127
WARNING 2024-04-19 23:14:38,093 log 21388 14728 Not Found: /favicon.ico
WARNING 2024-04-19 23:14:38,093 basehttp 21388 14728 "GET /favicon.ico HTTP/1.1" 404 2442
INFO 2024-04-19 23:14:39,326 views 21388 14728 Index page accessed
INFO 2024-04-19 23:14:39,327 basehttp 21388 14728 "GET / HTTP/1.1" 200 127
INFO 2024-04-19 23:14:39,714 basehttp 21388 14728 "GET /about HTTP/1.1" 301 0
INFO 2024-04-19 23:14:39,716 views 21388 8124 About page accessed
INFO 2024-04-19 23:14:39,717 basehttp 21388 8124 "GET /about/ HTTP/1.1" 200 217
